trade_date,ts_code,factor_value,forward_return
2026-01-01,000001.SZ,1.0,0.010
2026-01-01,000002.SZ,0.5,0.004
2026-01-01,000003.SZ,-0.2,-0.003
2026-01-01,000004.SZ,-0.8,-0.010
2026-01-01,000005.SZ,1.4,0.015
2026-01-02,000001.SZ,0.8,0.006
2026-01-02,000002.SZ,0.2,0.002
2026-01-02,000003.SZ,-0.5,-0.006
2026-01-02,000004.SZ,-1.1,-0.012
2026-01-02,000005.SZ,1.7,0.017
2026-01-05,000001.SZ,1.2,0.013
2026-01-05,000002.SZ,0.1,0.000
2026-01-05,000003.SZ,-0.4,-0.005
2026-01-05,000004.SZ,-0.9,-0.009
2026-01-05,000005.SZ,1.5,0.016
2026-01-06,000001.SZ,0.9,0.008
2026-01-06,000002.SZ,0.3,0.003
2026-01-06,000003.SZ,-0.6,-0.007
2026-01-06,000004.SZ,-1.0,-0.011
2026-01-06,000005.SZ,1.3,0.014
