date,symbol,open,high,low,close,volume,amount,vwap
20200101,000001.XSHE,10.0500,10.2000,9.8700,10.0000,101200,1012000.0000,10.0000
20200101,000002.XSHE,13.0800,13.2400,12.9000,13.0400,119200,1554368.0000,13.0400
20200101,600000.XSHG,16.1100,16.2800,15.9300,16.0800,137200,2206176.0000,16.0800
20200102,000001.XSHE,10.1600,10.3100,9.9900,10.1200,102400,1036288.0000,10.1200
20200102,000002.XSHE,13.1900,13.3600,13.0500,13.2000,120400,1589280.0000,13.2000
20200102,600000.XSHG,16.2200,16.4500,16.0700,16.2800,138400,2253152.0000,16.2800
20200103,000001.XSHE,10.2700,10.4200,10.1100,10.2400,103600,1060864.0000,10.2400
20200103,000002.XSHE,13.3000,13.5200,13.1600,13.3600,121600,1624576.0000,13.3600
20200103,600000.XSHG,16.1800,16.3700,16.0300,16.2000,139600,2261520.0000,16.2000
20200104,000001.XSHE,10.3800,10.5300,10.2300,10.3600,104800,1085728.0000,10.3600
20200104,000002.XSHE,13.2600,13.4200,13.1000,13.2400,122800,1625872.0000,13.2400
20200104,600000.XSHG,16.2900,16.5700,16.1400,16.4000,140800,2309120.0000,16.4000
20200105,000001.XSHE,10.3400,10.6300,10.2100,10.4800,106000,1110880.0000,10.4800
20200105,000002.XSHE,13.3700,13.5600,13.2300,13.4000,124000,1661600.0000,13.4000
20200105,600000.XSHG,16.4000,16.5700,16.1700,16.3200,142000,2317440.0000,16.3200
20200106,000001.XSHE,10.4500,10.7500,10.3200,10.6000,107200,1136320.0000,10.6000
20200106,000002.XSHE,13.4800,13.7200,13.3400,13.5600,125200,1697712.0000,13.5600
20200106,600000.XSHG,16.5100,16.6900,16.3600,16.5200,143200,2365664.0000,16.5200
20200107,000001.XSHE,10.5600,10.7100,10.3100,10.4400,108400,1131696.0000,10.4400
20200107,000002.XSHE,13.5900,13.7500,13.3000,13.4400,126400,1698816.0000,13.4400
20200107,600000.XSHG,16.6200,16.7900,16.2900,16.4400,144400,2373936.0000,16.4400
20200108,000001.XSHE,10.6700,10.8200,10.4300,10.5600,109600,1157376.0000,10.5600
20200108,000002.XSHE,13.7000,13.8600,13.4600,13.6000,127600,1735360.0000,13.6000
20200108,600000.XSHG,16.5800,16.8100,16.4300,16.6400,145600,2422784.0000,16.6400
20200109,000001.XSHE,10.7800,10.9300,10.5500,10.6800,110800,1183344.0000,10.6800
20200109,000002.XSHE,13.6600,13.9200,13.5200,13.7600,128800,1772288.0000,13.7600
20200109,600000.XSHG,16.6900,17.0100,16.5400,16.8400,146800,2472112.0000,16.8400
20200110,000001.XSHE,10.7400,10.9500,10.6100,10.8000,112000,1209600.0000,10.8000
20200110,000002.XSHE,13.7700,14.0800,13.6300,13.9200,130000,1809600.0000,13.9200
20200110,600000.XSHG,16.8000,16.9700,16.6100,16.7600,148000,2480480.0000,16.7600
20200111,000001.XSHE,10.8500,11.0700,10.7200,10.9200,113200,1236144.0000,10.9200
20200111,000002.XSHE,13.8800,14.0400,13.6600,13.8000,131200,1810560.0000,13.8000
20200111,600000.XSHG,16.9100,17.1300,16.7600,16.9600,149200,2530432.0000,16.9600
20200112,000001.XSHE,10.9600,11.1900,10.8300,11.0400,114400,1262976.0000,11.0400
20200112,000002.XSHE,13.9900,14.1500,13.8200,13.9600,132400,1848304.0000,13.9600
20200112,600000.XSHG,17.0200,17.1900,16.7300,16.8800,150400,2538752.0000,16.8800
20200113,000001.XSHE,11.0700,11.3100,10.9400,11.1600,115600,1290096.0000,11.1600
20200113,000002.XSHE,14.1000,14.2800,13.9600,14.1200,133600,1886432.0000,14.1200
20200113,600000.XSHG,16.9800,17.2500,16.8300,17.0800,151600,2589328.0000,17.0800
20200114,000001.XSHE,11.1800,11.3300,10.8700,11.0000,116800,1284800.0000,11.0000
20200114,000002.XSHE,14.0600,14.2200,13.8600,14.0000,134800,1887200.0000,14.0000
20200114,600000.XSHG,17.0900,17.2600,16.8500,17.0000,152800,2597600.0000,17.0000
20200115,000001.XSHE,11.1400,11.2900,10.9900,11.1200,118000,1312160.0000,11.1200
20200115,000002.XSHE,14.1700,14.3300,14.0200,14.1600,136000,1925760.0000,14.1600
20200115,600000.XSHG,17.2000,17.3700,17.0500,17.2000,154000,2648800.0000,17.2000
20200116,000001.XSHE,11.2500,11.4000,11.1100,11.2400,119200,1339808.0000,11.2400
20200116,000002.XSHE,14.2800,14.4800,14.1400,14.3200,137200,1964704.0000,14.3200
20200116,600000.XSHG,17.3100,17.5700,17.1600,17.4000,155200,2700480.0000,17.4000
20200117,000001.XSHE,11.3600,11.5100,11.2300,11.3600,120400,1367744.0000,11.3600
20200117,000002.XSHE,14.3900,14.6400,14.2500,14.4800,138400,2004032.0000,14.4800
20200117,600000.XSHG,17.4200,17.5900,17.1700,17.3200,156400,2708848.0000,17.3200
20200118,000001.XSHE,11.4700,11.6300,11.3400,11.4800,121600,1395968.0000,11.4800
20200118,000002.XSHE,14.5000,14.6600,14.2200,14.3600,139600,2004656.0000,14.3600
20200118,600000.XSHG,17.3800,17.6900,17.2300,17.5200,157600,2761152.0000,17.5200
20200119,000001.XSHE,11.5800,11.7500,11.4500,11.6000,122800,1424480.0000,11.6000
20200119,000002.XSHE,14.4600,14.6800,14.3200,14.5200,140800,2044416.0000,14.5200
20200119,600000.XSHG,17.4900,17.6600,17.2900,17.4400,158800,2769472.0000,17.4400
20200120,000001.XSHE,11.5400,11.8700,11.4100,11.7200,124000,1453280.0000,11.7200
20200120,000002.XSHE,14.5700,14.8400,14.4300,14.6800,142000,2084560.0000,14.6800
20200120,600000.XSHG,17.6000,17.8100,17.4500,17.6400,160000,2822400.0000,17.6400
20200121,000001.XSHE,11.6500,11.8000,11.4300,11.5600,125200,1447312.0000,11.5600
20200121,000002.XSHE,14.6800,14.8400,14.4200,14.5600,143200,2084992.0000,14.5600
20200121,600000.XSHG,17.7100,17.8800,17.4100,17.5600,161200,2830672.0000,17.5600
20200122,000001.XSHE,11.7600,11.9100,11.5500,11.6800,126400,1476352.0000,11.6800
20200122,000002.XSHE,14.7900,14.9500,14.5800,14.7200,144400,2125568.0000,14.7200
20200122,600000.XSHG,17.8200,17.9900,17.6100,17.7600,162400,2884224.0000,17.7600
20200123,000001.XSHE,11.8700,12.0200,11.6700,11.8000,127600,1505680.0000,11.8000
20200123,000002.XSHE,14.9000,15.0600,14.7400,14.8800,145600,2166528.0000,14.8800
20200123,600000.XSHG,17.7800,18.1300,17.6300,17.9600,163600,2938256.0000,17.9600
20200124,000001.XSHE,11.9800,12.1300,11.7900,11.9200,128800,1535296.0000,11.9200
20200124,000002.XSHE,14.8600,15.2000,14.7200,15.0400,146800,2207872.0000,15.0400
